name,image_filepath,original_image_url,party,state,chamber,district
Heather A. Steans,,http://ilga.gov/images/members/{222FB39E-971E-4E7B-B43C-0B12080C2DD9}.jpg,Democratic,il,Senate,7
Tim Butler,,http://ilga.gov/images/members/{8D147B40-5711-4E50-AAC8-ED40137F3B46}.jpg,Republican,il,House,87
"Elgie R. Sims, Jr.",,http://ilga.gov/images/members/{1EAF7721-A189-4CD1-B31D-CD39F79DBD04}.jpg,Democratic,il,Senate,17
Joe Sosnowski,,http://ilga.gov/images/members/{7DEBF89C-D2BA-4952-94A2-40F564A00144}.jpg,Republican,il,House,69
Dave Severin,,http://ilga.gov/images/members/{FC792043-4CE1-4796-BA38-E68B39A9847A}.jpg,Republican,il,House,117
Michael J. Madigan,,http://ilga.gov/images/members/{8270D4F3-2A64-41A4-A409-AEF225004390}.jpg,Democratic,il,House,22
Dan Brady,,http://ilga.gov/images/members/{B8BEEC1C-5E74-479B-8640-7B3407FDF4EB}.jpg,Republican,il,House,105
Michael E. Hastings,,http://ilga.gov/images/members/{C6E534EB-7243-4687-8A65-04BD4DA5DF72}.jpg,Democratic,il,Senate,19
Antonio Muñoz,,http://ilga.gov/images/members/{C4AA7682-5256-4C1D-A7C6-90953534A514}.jpg,Democratic,il,Senate,1
Linda Holmes,,http://ilga.gov/images/members/{9A39C8B9-4B06-4BF7-85CE-4C6F4FD07769}.jpg,Democratic,il,Senate,42
Arthur L. Turner,,http://ilga.gov/images/members/{B219A2D0-208B-45CB-BDAA-287DC452F74E}.jpg,Democratic,il,House,9
"Napoleon Harris, III",,http://ilga.gov/images/members/{87402198-6E85-4CFE-BDD2-B9DC58948869}.jpg,Democratic,il,Senate,15
Terri Bryant,,http://ilga.gov/images/members/{880F9FD4-185B-4339-9AA2-4EF360F55F79}.jpg,Republican,il,House,115
Randy E. Frese,,http://ilga.gov/images/members/{BFF3CD04-BFB6-4681-952F-D519B27FE904}.jpg,Republican,il,House,94
Sam Yingling,,http://ilga.gov/images/members/{4A9D137F-EA10-4C6A-BAB4-27CE34D4BED1}.jpg,Democratic,il,House,62
Elizabeth Hernandez,,http://ilga.gov/images/members/{4E4C2A21-FDC2-48CA-9BA8-462A62E7A33B}.jpg,Democratic,il,House,24
Daniel Didech,,http://ilga.gov/images/members/{1EA869A9-B93D-4E72-824B-E14992452581}.jpg,Democratic,il,House,59
Suzy Glowiak Hilton,,http://ilga.gov/images/members/{8DE2D7E5-9F3D-43FD-B0EC-0010BDA8849A}.jpg,Democratic,il,Senate,24
Joyce Mason,,http://ilga.gov/images/members/{26C52E17-9395-4BF8-B6E6-3E1CE6234032}.jpg,Democratic,il,House,61
Jennifer Gong-Gershowitz,,http://ilga.gov/images/members/{395E8140-10ED-4C70-81B9-2673676BF467}.jpg,Democratic,il,House,17
Amy Grant,,http://ilga.gov/images/members/{41DCC207-977E-45DC-BD10-A8AFDCEB673E}.jpg,Republican,il,House,42
Mary Edly-Allen,,http://ilga.gov/images/members/{BA03ED78-6725-429F-9439-125943321F33}.jpg,Democratic,il,House,51
Blaine Wilhour,,http://ilga.gov/images/members/{66C5580C-A414-41BB-B3AC-638925AC34CD}.jpg,Republican,il,House,107
Rachelle Crowe,,http://ilga.gov/images/members/{05406617-A6A5-4533-852E-04678B860D88}.jpg,Democratic,il,Senate,56
Karina Villa,,http://ilga.gov/images/members/{A23556E9-B394-4F64-88EC-69D0BFB5945B}.jpg,Democratic,il,House,49
Bob Morgan,,http://ilga.gov/images/members/{A3460802-617C-4097-B043-6D63A11278AC}.jpg,Democratic,il,House,58
Jason Plummer,,http://ilga.gov/images/members/{CE75DC7E-2CD4-4D01-B697-C2866F828E25}.jpg,Republican,il,Senate,54
Darren Bailey,,http://ilga.gov/images/members/{E711544D-E0C4-4E1F-AFAB-86718D6DCC55}.jpg,Republican,il,House,109
Christopher Belt,,http://ilga.gov/images/members/{EFE7513C-260C-46DE-BAB3-A12F250B2937}.jpg,Democratic,il,Senate,57
Diane Pappas,,http://ilga.gov/images/members/{32DE4C0A-7C22-4F01-B0A4-975A4EB93448}.jpg,Democratic,il,House,45
Robert Peters,,http://ilga.gov/images/members/{05AD9CBA-EA20-489D-9C33-3F39DC1F9B0C}.jpg,Democratic,il,Senate,13
Barbara Hernandez,,http://ilga.gov/images/members/{E3518E4F-7AAF-4D93-8985-336197D96094}.jpg,Democratic,il,House,83
Kambium Buckner,,http://ilga.gov/images/members/{37E72FD2-6318-45FD-9FF1-C750EB26137D}.jpg,Democratic,il,House,26
Eva Dina Delgado,,http://ilga.gov/images/members/{D02A93E7-7D84-4429-92AB-60B61084EBA1}.jpg,Democratic,il,House,3
Bradley Stephens,,http://ilga.gov/images/members/{BD3836AC-CD0C-4E20-AD4C-1F2AEA56A8A2}.jpg,Republican,il,House,20
Robert F. Martwick,,http://ilga.gov/images/members/{8FA2A22C-6775-4098-905C-0C7D8BBD7AEE}.jpg,Democratic,il,Senate,10
Patrick J. Joyce,,http://ilga.gov/images/members/{39D6F100-DAEC-4C4B-A4F5-F20299B79152}.jpg,Democratic,il,Senate,40
Brian W. Stewart,,http://ilga.gov/images/members/{9542D32E-E8F8-4E42-963E-23FC7621D747}.jpg,Republican,il,Senate,45
Jil Tracy,,http://ilga.gov/images/members/{21C0F860-E9DD-4215-A3AA-703E275C8526}.jpg,Republican,il,Senate,47
Mark L. Walker,,http://ilga.gov/images/members/{BC2AF76D-FAE4-44C4-8632-AA4E629A9678}.jpg,Democratic,il,House,53
Sara Feigenholtz,,http://ilga.gov/images/members/{E77394AE-D896-4FEB-A325-B33A553554EB}.jpg,Democratic,il,Senate,6
Celina Villanueva,,http://ilga.gov/images/members/{F8A21A81-5453-4E94-AC51-E644E1B0C00B}.jpg,Democratic,il,Senate,11
"Edgar Gonzalez, Jr.",,http://ilga.gov/images/members/{370B1494-7F8F-48BC-BD66-4756E15442E1}.jpg,Democratic,il,House,21
Robert Rita,,http://ilga.gov/images/members/{AC16F1E8-0988-4A08-A2E5-EF4D06371A24}.jpg,Democratic,il,House,28
Jim Durkin,,http://ilga.gov/images/members/{760BBA90-38A6-4917-8C3A-D28908F67ED7}.jpg,Republican,il,House,82
LaToya Greenwood,,http://ilga.gov/images/members/{87BFA17C-40F4-48B9-AFF5-5A0F37E8EEAF}.jpg,Democratic,il,House,114
LaShawn K. Ford,,http://ilga.gov/images/members/{BCC3C8D6-5728-4A69-8A3B-F203314DD563}.jpg,Democratic,il,House,8
Sue Scherer,,http://ilga.gov/images/members/{A0B92E66-B4F7-4B85-A7F2-14C0153B426F}.jpg,Democratic,il,House,96
Andy Manar,,http://ilga.gov/images/members/{385C74DA-9ACC-41E3-99D3-08A6A1EC1FC9}.jpg,Democratic,il,Senate,48
Avery Bourne,,http://ilga.gov/images/members/{1E0F129F-D165-4015-A615-FAB6B0DED9F0}.jpg,Republican,il,House,95
Patricia Van Pelt,,http://ilga.gov/images/members/{71DA8897-D74A-4034-9A99-79C7FB2BD90E}.jpg,Democratic,il,Senate,5
Dale A. Righter,,http://ilga.gov/images/members/{25A344E9-478E-40E1-8D41-CA34A8FCCD61}.jpg,Republican,il,Senate,55
William E. Brady,,http://ilga.gov/images/members/{D9BF6EBA-FC02-48DC-8505-B83436A46DD5}.jpg,Republican,il,Senate,44
Chuck Weaver,,http://ilga.gov/images/members/{984DFCEF-3D95-4524-9102-FAF8B6511BE4}.jpg,Republican,il,Senate,37
Jacqueline Y. Collins,,http://ilga.gov/images/members/{D2A0AAA1-D1A0-49D3-8A11-78A1A73D73A9}.jpg,Democratic,il,Senate,16
Keith P. Sommer,,http://ilga.gov/images/members/{C88F32E6-78FD-4BFF-9894-105CEC155A8F}.jpg,Republican,il,House,88
Emanuel Chris Welch,,http://ilga.gov/images/members/{5D419B94-66B4-4F3B-86F1-BFF37B3FA55C}.jpg,Democratic,il,House,7
Justin Slaughter,,http://ilga.gov/images/members/{170C17F3-38A1-42E5-B222-020B43077D53}.jpg,Democratic,il,House,27
Theresa Mah,,http://ilga.gov/images/members/{808BAA30-BB82-437A-9A76-386F9A65A073}.jpg,Democratic,il,House,2
Allen Skillicorn,,http://ilga.gov/images/members/{47D93AEC-3D46-409B-B881-CD0CBC9226B7}.jpg,Republican,il,House,66
Iris Y. Martinez,,http://ilga.gov/images/members/{274BFBAB-00D7-4DB2-A9CD-FFABCDA5AD08}.jpg,Democratic,il,Senate,20
Anna Moeller,,http://ilga.gov/images/members/{DCE9D682-0582-49BD-AD67-98C2502D89C2}.jpg,Democratic,il,House,43
John Connor,,http://ilga.gov/images/members/{2215CB8F-EAEB-4B96-A787-2571ED7BDC10}.jpg,Democratic,il,House,85
Frances Ann Hurley,,http://ilga.gov/images/members/{E5ABA68E-10AC-4592-B38E-2C65AFB777B2}.jpg,Democratic,il,House,35
Robyn Gabel,,http://ilga.gov/images/members/{739CC8F9-E9E4-40A1-AB86-883EF9A5E313}.jpg,Democratic,il,House,18
Kelly M. Burke,,http://ilga.gov/images/members/{5D9078FA-21F1-411F-A447-B5E7299AC314}.jpg,Democratic,il,House,36
Brad E. Halbrook,,http://ilga.gov/images/members/{3F3C3739-E087-440D-B006-33043A8F5083}.jpg,Republican,il,House,102
Scott M. Bennett,,http://ilga.gov/images/members/{8F1A0093-CB44-43C1-9D4D-67266A50A8C6}.jpg,Democratic,il,Senate,52
John C. D'Amico,,http://ilga.gov/images/members/{AF790B68-DC07-47D1-95DA-E7ED5AF4B332}.jpg,Democratic,il,House,15
Sonya M. Harper,,http://ilga.gov/images/members/{04C99384-69F8-4ACE-9E43-11E21CC5F820}.jpg,Democratic,il,House,6
Michael Halpin,,http://ilga.gov/images/members/{51EA8D97-3DDD-42AC-B607-CF1C1235CB56}.jpg,Democratic,il,House,72
Jay C. Hoffman,,http://ilga.gov/images/members/{FCD7EF06-36D9-46A7-8085-4B5A5ED81A80}.jpg,Democratic,il,House,113
Laura M. Murphy,,http://ilga.gov/images/members/{E8C6FBF1-611C-4DD5-A81D-F0FF8917556D}.jpg,Democratic,il,Senate,28
Steve Stadelman,,http://ilga.gov/images/members/{47906765-AB0A-48BF-8C14-B5443B8F27C4}.jpg,Democratic,il,Senate,34
