name,image_filepath,original_image_url,party,state,chamber,district
Tracy Ehlert,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27032,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27032,Democratic,ia,House,70
Claire Celsi,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27000,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27000,Democratic,ia,Senate,21
RasTafari I. Smith,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=18048,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=18048,Democratic,ia,House,62
Kristin Sunde,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27025,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27025,Democratic,ia,House,42
Joe Mitchell,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27038,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27038,Republican,ia,House,84
Kenan Judge,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27027,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27027,Democratic,ia,House,44
Jackie Smith,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=26998,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=26998,Democratic,ia,Senate,7
Brian K. Lohse,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27022,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27022,Republican,ia,House,30
Tom Jeneary,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27018,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27018,Republican,ia,House,5
Chris Hagenow,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=6584,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=6584,Republican,ia,House,19
Zach Whiting,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=26997,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=26997,Republican,ia,Senate,1
Phil Thompson,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27028,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27028,Republican,ia,House,47
Ray Sorensen,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27020,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27020,Republican,ia,House,20
Thomas D. Gerhold,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27033,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27033,Republican,ia,House,75
Jeff Shipley,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27036,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27036,Republican,ia,House,82
Jennifer Konfrst,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27026,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27026,Democratic,ia,House,43
Carrie Koelker,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27001,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27001,Republican,ia,Senate,29
Lindsay James,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27039,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27039,Democratic,ia,House,99
Chris Cournoyer,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27004,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27004,Republican,ia,Senate,49
Jeff Kurtz,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27037,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27037,Democratic,ia,House,83
Molly Donahue,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27031,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27031,Democratic,ia,House,68
Mariannette Miller-Meeks,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27003,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27003,Republican,ia,Senate,41
Dustin D. Hite,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27034,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27034,Republican,ia,House,79
Karin Derry,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27024,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27024,Democratic,ia,House,39
Holly Brink,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27035,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27035,Republican,ia,House,80
Ann Meyer,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27019,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27019,Republican,ia,House,9
Heather Matson,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27023,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27023,Democratic,ia,House,38
Anne Osmundson,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27029,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27029,Republican,ia,House,56
Dave Williams,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27030,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27030,Democratic,ia,House,60
Andy McKean,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=1073,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=1073,Democratic,ia,House,58
Eric Giddens,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=28254,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=28254,Democratic,ia,Senate,30
Ross Wilburn,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=28701,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=28701,Democratic,ia,House,46
Jim Lykam,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=246,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=246,Democratic,ia,Senate,45
Annette Sweeney,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=6585,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=6585,Republican,ia,Senate,25
